,Year,AverageTemperature,AverageTemperatureUncertainty,ISO
0,1743,8.62,2.268,ALB
1,1743,7.556,2.188,AND
2,1743,2.482,2.116,AUT
3,1743,0.767,2.465,BLR
4,1743,7.106,1.855,BEL
5,1743,6.391,2.391,BIH
6,1743,5.928,2.547,BGR
7,1743,7.225,2.3,HRV
8,1743,4.167,2.014,CZE
9,1743,6.507000000000001,1.767,DNK
10,1743,0.727,2.113,EST
12,1743,6.105,2.036,FRO
13,1743,-3.571,2.965,FIN
14,1743,8.8,2.0635,FRA
15,1743,5.468,1.832,DEU
16,1743,10.806,2.132,GRC
17,1743,10.692,1.857,GGY
18,1743,5.041,2.374,HUN
19,1743,-1.794,2.64,ISL
20,1743,7.729999999999999,1.854,IRL
21,1743,9.623,1.87,IMN
22,1743,9.538,1.944,ITA
23,1743,10.692,1.857,JEY
24,1743,0.936,2.088,LVA
25,1743,1.3230000000000002,2.168,LIE
26,1743,1.981,2.103,LTU
27,1743,6.5920000000000005,1.919,LUX
28,1743,5.431,2.487,MKD
29,1743,3.4150000000000005,2.809,MDA
30,1743,5.096,1.982,MCO
31,1743,5.6450000000000005,2.371,MNE
32,1743,7.8075,1.7625,NLD
33,1743,-3.503,2.672,NOR
34,1743,3.937,2.057,POL
35,1743,3.89,2.591,ROU
36,1743,1.1580000000000004,2.354,SPM
37,1743,11.809,2.079,SMR
38,1743,5.151,2.557,SRB
39,1743,3.697,2.214,SVK
40,1743,5.667999999999999,2.221,SVN
41,1743,9.346,2.218,ESP
42,1743,-1.444,2.476,SWE
43,1743,3.572,2.094,CHE
44,1743,1.898,2.8080000000000003,UKR
45,1743,7.131,1.8395000000000001,GBR
46,1743,4.384,2.294,ALA
47,1744,13.338416666666667,2.248416666666667,ALB
48,1744,11.59575,2.17975,AND
49,1744,7.0615,2.0835833333333333,AUT
50,1744,7.050333333333334,2.41225,BLR
51,1744,10.292,1.8439166666666666,BEL
52,1744,11.251166666666668,2.3625833333333333,BIH
53,1744,11.383916666666666,2.528,BGR
54,1744,12.171666666666667,2.2700833333333335,HRV
55,1744,8.590583333333333,1.9807499999999998,CZE
56,1744,9.0265,1.7394166666666668,DNK
57,1744,6.221166666666666,1.9400000000000002,EST
59,1744,6.906333333333333,1.9395,FRO
60,1744,2.6781666666666673,2.8185000000000002,FIN
61,1744,12.095958333333334,2.0472916666666667,FRA
62,1744,9.085833333333333,1.8050833333333334,DEU
63,1744,15.497416666666666,2.1245833333333333,GRC
64,1744,11.683083333333334,1.8465833333333332,GGY
65,1744,10.615,2.3409166666666668,HUN
66,1744,1.60125,2.5904166666666666,ISL
67,1744,9.763083333333332,1.8213333333333335,IRL
68,1744,10.16075,1.8260000000000003,IMN
69,1744,13.482833333333334,1.9200833333333334,ITA
70,1744,11.683083333333334,1.8465833333333332,JEY
71,1744,6.5760000000000005,1.97025,LVA
72,1744,5.468083333333333,2.14725,LIE
73,1744,7.1955833333333326,2.0206666666666666,LTU
74,1744,10.00925,1.9083333333333332,LUX
75,1744,11.101333333333335,2.4690833333333333,MKD
76,1744,10.01825,2.779833333333334,MDA
77,1744,9.589166666666667,1.9650833333333333,MCO
78,1744,10.953249999999999,2.345,MNE
79,1744,10.278625,1.7377916666666666,NLD
80,1744,0.9994999999999997,2.52875,NOR
81,1744,8.641083333333333,2.01475,POL
82,1744,9.754666666666667,2.5635,ROU
83,1744,5.40825,2.3309166666666665,SPM
84,1744,14.836583333333332,2.0505833333333334,SMR
85,1744,10.792,2.5303333333333335,SRB
86,1744,8.55025,2.1785,SVK
87,1744,10.479916666666666,2.1908333333333334,SVN
88,1744,13.866083333333334,2.2201666666666666,ESP
89,1744,3.5896666666666666,2.3520833333333333,SWE
90,1744,7.738916666666667,2.0785,CHE
91,1744,8.778666666666666,2.78225,UKR
92,1744,9.0875,1.7995833333333335,GBR
93,1744,6.840166666666668,2.016083333333333,ALA
94,1745,9.24475,2.142333333333333,ALB
